INSERT INTO SINONIMOS VALUES("AVC", "acidente vascular cerebral");
INSERT INTO SINONIMOS VALUES("não-leucêmico", "metaplasia agnogênica");
INSERT INTO SINONIMOS VALUES("complexo", "AUXILIA");
INSERT INTO SINONIMOS VALUES("variola menor", "alastrim");
INSERT INTO SINONIMOS VALUES("consumo", "bebendo");
INSERT INTO SINONIMOS VALUES("álcool idiossincrático", "patológico");
INSERT INTO SINONIMOS VALUES("abstinência alcoólica", "tremens");
INSERT INTO SINONIMOS VALUES("aldeído", "aldose");
INSERT INTO SINONIMOS VALUES("alcenos", "olefina");
INSERT INTO SINONIMOS VALUES("alopecia", "perda de cabelo");
INSERT INTO SINONIMOS VALUES("traumático", "tração");
INSERT INTO SINONIMOS VALUES("partículas", "radiação");
INSERT INTO SINONIMOS VALUES("alfa-glucosidase", "maltase");
INSERT INTO SINONIMOS VALUES("algestone", "dihidroxiprogesterona");
INSERT INTO SINONIMOS VALUES("alveolar", "periodontal");
INSERT INTO SINONIMOS VALUES("alveolite alérgica extrínseca", "pneumonite por hipersensibilidade");
INSERT INTO SINONIMOS VALUES("instalações de atendimento ambulatorial", "ambulatórios");
INSERT INTO SINONIMOS VALUES("amdinocilina", "mecillinam");
INSERT INTO SINONIMOS VALUES("amdinocilina pivoxil", "pivmecillinam");
INSERT INTO SINONIMOS VALUES("pele", "cutâneo");
INSERT INTO SINONIMOS VALUES("amenorreia", "ausência de menstruação");
INSERT INTO SINONIMOS VALUES("aminoácido", "proteína");
INSERT INTO SINONIMOS VALUES("ligases de aminoacil-trna", "trna sintetase");
INSERT INTO SINONIMOS VALUES("amnésia", "perda de memória");
INSERT INTO SINONIMOS VALUES("estrutura", "saco");
INSERT INTO SINONIMOS VALUES("perna através da fíbula da tíbia", "abaixo do joelho");
INSERT INTO SINONIMOS VALUES("esclerose lateral amiotrófica", "doença de Lou Gehrig");
INSERT INTO SINONIMOS VALUES("sistema nervoso central", "cns");
INSERT INTO SINONIMOS VALUES("insensibilidade à dor congênita", "assíntia");
INSERT INTO SINONIMOS VALUES("analgésicos", "Alívio da dor");
INSERT INTO SINONIMOS VALUES("variância de análise", "anova");
INSERT INTO SINONIMOS VALUES("anafilaxia", "choque alérgico");
INSERT INTO SINONIMOS VALUES("anaplasmose", "febre do carrapato");
INSERT INTO SINONIMOS VALUES("anastomose", "ignorar");
INSERT INTO SINONIMOS VALUES("ancylostomatoidea", "ancilostomose");
INSERT INTO SINONIMOS VALUES("antagonistas de andrógeno", "antiandrogênico");
INSERT INTO SINONIMOS VALUES("talassemia major", "anemia de cooley");
INSERT INTO SINONIMOS VALUES("anemia mielofítica", "leucoeritroblastose");
INSERT INTO SINONIMOS VALUES("condução", "regional");
INSERT INTO SINONIMOS VALUES("intratraqueal", "endotraqueal");
INSERT INTO SINONIMOS VALUES("anestésicos", "sensação de perda");
INSERT INTO SINONIMOS VALUES("antro", "anestro");
INSERT INTO SINONIMOS VALUES("angiectasia", "ectasia vascular");
INSERT INTO SINONIMOS VALUES("variante de peitoral", "prinzmetal");
INSERT INTO SINONIMOS VALUES("angiografia", "Vasos sanguíneos de raios X");
INSERT INTO SINONIMOS VALUES("dermatofibroma", "histiocitoma");
INSERT INTO SINONIMOS VALUES("experimentação", "pesquisa");
INSERT INTO SINONIMOS VALUES("anquilose", "junta congelada");
INSERT INTO SINONIMOS VALUES("pneumoconiose dos trabalhadores do carvão", "pulmão preto");
INSERT INTO SINONIMOS VALUES("formação", "Produção");
INSERT INTO SINONIMOS VALUES("antígeno-anticorpo", "imune");
INSERT INTO SINONIMOS VALUES("anti-hipertensivo", "redução da pressão arterial");
INSERT INTO SINONIMOS VALUES("antimónio de potássio", "emético");
INSERT INTO SINONIMOS VALUES("antagonistas muscarínicos", "antimuscarínico");
INSERT INTO SINONIMOS VALUES("antitimoglobulina", "atg");
INSERT INTO SINONIMOS VALUES("anura", "rãs");
INSERT INTO SINONIMOS VALUES("defeito septal", "janela");
INSERT INTO SINONIMOS VALUES("apazona", "azapropazona");
INSERT INTO SINONIMOS VALUES("afasia", "incapacidade entender linguagem expressa");
INSERT INTO SINONIMOS VALUES("afonia", "perda de voz");
INSERT INTO SINONIMOS VALUES("apnéia", "parou de respirar");
INSERT INTO SINONIMOS VALUES("depressores", "supressores");
INSERT INTO SINONIMOS VALUES("regulamento", "ao controle");
INSERT INTO SINONIMOS VALUES("apt", "paratungstato de amônio");
INSERT INTO SINONIMOS VALUES("humor aquoso", "fluido intraocular");
INSERT INTO SINONIMOS VALUES("araquidonato", "lipoxigenase");
INSERT INTO SINONIMOS VALUES("androblastoma", "arrenoblastoma");
INSERT INTO SINONIMOS VALUES("arritmia", "Ritmos cardíacos anormais");
INSERT INTO SINONIMOS VALUES("artralgia", "dor nas articulações");
INSERT INTO SINONIMOS VALUES("artrite", "doença");
INSERT INTO SINONIMOS VALUES("artropatia neurogênica", "charcot joint");
INSERT INTO SINONIMOS VALUES("artroplastia", "reconstrução articular");
INSERT INTO SINONIMOS VALUES("hidroxilases de hidrocarbonetos de arilo", "microssoma p450");
INSERT INTO SINONIMOS VALUES("arteriosclerose cardiovascular não especificada", "ascvd");
INSERT INTO SINONIMOS VALUES("neonatorum", "nascimento");
INSERT INTO SINONIMOS VALUES("dryopteris", "samambaia masculina");
INSERT INTO SINONIMOS VALUES("conteúdo gástrico", "vômito");
INSERT INTO SINONIMOS VALUES("astenia", "fraqueza");
INSERT INTO SINONIMOS VALUES("astenopia", "tensão ocular");
INSERT INTO SINONIMOS VALUES("ataxia Telangiectasia", "síndrome de louis-bar");
INSERT INTO SINONIMOS VALUES("atelectasia", "pulmão colapsado");
INSERT INTO SINONIMOS VALUES("Atlético", "Esportes");
INSERT INTO SINONIMOS VALUES("Atlas", "primeiro cervical");
INSERT INTO SINONIMOS VALUES("dibesilato", "besilato");
INSERT INTO SINONIMOS VALUES("Atrioventricular", "av");
INSERT INTO SINONIMOS VALUES("atrito", "vestem");
INSERT INTO SINONIMOS VALUES("percepção auditiva", "ouvindo");
INSERT INTO SINONIMOS VALUES("perceptivo", "em processamento");
INSERT INTO SINONIMOS VALUES("axila", "axila");
INSERT INTO SINONIMOS VALUES("eixo", "segundo cervical");
INSERT INTO SINONIMOS VALUES("infantil", "bebê");
INSERT INTO SINONIMOS VALUES("macaco barbary", "magote");
INSERT INTO SINONIMOS VALUES("thoracica", "barnacle");
INSERT INTO SINONIMOS VALUES("disbarismo", "barotrauma");
INSERT INTO SINONIMOS VALUES("contracepção", "métodos");
INSERT INTO SINONIMOS VALUES("nevo basocelular", "gorlin");
INSERT INTO SINONIMOS VALUES("base", "nucleotídeo");
INSERT INTO SINONIMOS VALUES("Raios", "radiação");
INSERT INTO SINONIMOS VALUES("colestase", "obstrução biliar");
INSERT INTO SINONIMOS VALUES("materiais biocompatíveis", "biomateriais");
INSERT INTO SINONIMOS VALUES("ensaio biológico", "bioensaio");
INSERT INTO SINONIMOS VALUES("disponibilidade biológica", "biodisponibilidade");
INSERT INTO SINONIMOS VALUES("fatores biológicos", "produto natural");
INSERT INTO SINONIMOS VALUES("marcadores biológicos", "biomarcador");
INSERT INTO SINONIMOS VALUES("biológico", "vida");
INSERT INTO SINONIMOS VALUES("Engenharia Biomédica", "Bioengenharia");
INSERT INTO SINONIMOS VALUES("biometria", "bioestatística");
INSERT INTO SINONIMOS VALUES("intervalos", "espaçamento");
INSERT INTO SINONIMOS VALUES("parto", "nascimento");
INSERT INTO SINONIMOS VALUES("latrodectus mactans", "Aranha viúva negra");
INSERT INTO SINONIMOS VALUES("cálculos", "pedras");
INSERT INTO SINONIMOS VALUES("estrutura do estágio 3 do embrião", "blastocisto");
INSERT INTO SINONIMOS VALUES("blastomicose norte-americana", "doença de chicago");
INSERT INTO SINONIMOS VALUES("blefaroptose", "pálpebra caída");
INSERT INTO SINONIMOS VALUES("blefarorrhafia", "tarsorrafia");
INSERT INTO SINONIMOS VALUES("bulla", "blister");
INSERT INTO SINONIMOS VALUES("coagulação", "coagulação");
INSERT INTO SINONIMOS VALUES("distúrbios da coagulação sanguínea", "tendência de sangramento");
INSERT INTO SINONIMOS VALUES("coagulação do sangue", "coagulação");
INSERT INTO SINONIMOS VALUES("remoção de componentes sanguíneos", "aférese");
INSERT INTO SINONIMOS VALUES("glicose", "açúcar");
INSERT INTO SINONIMOS VALUES("grupos", "tipo");
INSERT INTO SINONIMOS VALUES("fisiologia", "função");
INSERT INTO SINONIMOS VALUES("determinação", "levando");
INSERT INTO SINONIMOS VALUES("sangue", "eritrócitos");
INSERT INTO SINONIMOS VALUES("substitutos", "artificial");
INSERT INTO SINONIMOS VALUES("sangria", "venesection");
INSERT INTO SINONIMOS VALUES("desenvolvimento de doenças", "displasia");
INSERT INTO SINONIMOS VALUES("granuloma estafilocócico", "botriomicose");
INSERT INTO SINONIMOS VALUES("boutonneuse", "mediterrâneo manchado");
INSERT INTO SINONIMOS VALUES("doenças cerebrais", "encefalopatia");
INSERT INTO SINONIMOS VALUES("testes de provocação", "desafio");
INSERT INTO SINONIMOS VALUES("displasia broncopulmonar", "bebês com doença pulmonar crônica");
INSERT INTO SINONIMOS VALUES("brucelose bovina", "franja doença");
INSERT INTO SINONIMOS VALUES("myanmar", "birmânia");
INSERT INTO SINONIMOS VALUES("de gopalan", "pés ardentes");
INSERT INTO SINONIMOS VALUES("butileno glicóis", "butanodiol");
INSERT INTO SINONIMOS VALUES("brometo", "hioscina");
INSERT INTO SINONIMOS VALUES("antígeno ca-15-3", "ca15-3");
INSERT INTO SINONIMOS VALUES("antígeno ca-19-9", "ca19-9");
INSERT INTO SINONIMOS VALUES("estrutura calcâneo", "salto");
INSERT INTO SINONIMOS VALUES("fisiológico", "depósito");
INSERT INTO SINONIMOS VALUES("callithrix", "sagui");
INSERT INTO SINONIMOS VALUES("energia", "calórico");
INSERT INTO SINONIMOS VALUES("Serinus", "canário");
INSERT INTO SINONIMOS VALUES("candidíase", "tordo");
INSERT INTO SINONIMOS VALUES("maconha", "maconha");
INSERT INTO SINONIMOS VALUES("caprilatos", "octanoatos");
INSERT INTO SINONIMOS VALUES("desidratase", "anidrase");
INSERT INTO SINONIMOS VALUES("carboxi-liases", "descarboxilase");
INSERT INTO SINONIMOS VALUES("adenocarcinoma", "carcinoma");
INSERT INTO SINONIMOS VALUES("carcinoma intraductal não infiltrante", "dcis");
INSERT INTO SINONIMOS VALUES("congestivo", "dilatado");
INSERT INTO SINONIMOS VALUES("o-palmitoiltransferase", "palmitoiltransferase");
INSERT INTO SINONIMOS VALUES("estrutura carpus", "pulso");
INSERT INTO SINONIMOS VALUES("transportadora", "transporte");
INSERT INTO SINONIMOS VALUES("manihot esculenta", "tapioca");
INSERT INTO SINONIMOS VALUES("castração masculina", "orquiectomia bilateral");
INSERT INTO SINONIMOS VALUES("doença", "febre do risco");
INSERT INTO SINONIMOS VALUES("cateterismo arterial", "agulhando");
INSERT INTO SINONIMOS VALUES("cisne-ganz", "artéria pulmonar");
INSERT INTO SINONIMOS VALUES("felis", "doméstica");
INSERT INTO SINONIMOS VALUES("Cattell", "dezesseis");
INSERT INTO SINONIMOS VALUES("Caucasóide", "branco");
INSERT INTO SINONIMOS VALUES("ceftotana", "cefotão");
INSERT INTO SINONIMOS VALUES("celíaca", "solar");
INSERT INTO SINONIMOS VALUES("envelhecimento", "senescência");
INSERT INTO SINONIMOS VALUES("movimento", "motilidade");
INSERT INTO SINONIMOS VALUES("separação", "classificação");
INSERT INTO SINONIMOS VALUES("sobrevivência", "viabilidade");
INSERT INTO SINONIMOS VALUES("meclofenoxato", "centrofenoxina");
INSERT INTO SINONIMOS VALUES("ceratopogonidae", "não-ver-ums");
INSERT INTO SINONIMOS VALUES("doenças", "disfunção");
INSERT INTO SINONIMOS VALUES("hemorragia do hemisfério cerebral", "Hemorragia cerebral");
INSERT INTO SINONIMOS VALUES("sulfato de cerebroside", "arilsulfatase a");
INSERT INTO SINONIMOS VALUES("líquido cefalorraquidiano", "csf");
INSERT INTO SINONIMOS VALUES("circulação", "fluxo sanguíneo");
INSERT INTO SINONIMOS VALUES("displasia", "precancer");
INSERT INTO SINONIMOS VALUES("cestoda", "tênia");
INSERT INTO SINONIMOS VALUES("infecções por cestóides", "tênia");
INSERT INTO SINONIMOS VALUES("cisto meibomiano", "calázio");
INSERT INTO SINONIMOS VALUES("quelidônio", "celandine");
INSERT INTO SINONIMOS VALUES("respiração", "respiração");
INSERT INTO SINONIMOS VALUES("síndrome de chiari-frommel", "doença de frommel");
INSERT INTO SINONIMOS VALUES("pan troglodytes", "chimpanzé");
INSERT INTO SINONIMOS VALUES("Quirópteros", "bastão");
INSERT INTO SINONIMOS VALUES("clorazepato", "clorazepato");
INSERT INTO SINONIMOS VALUES("cloroguanida", "proguanil");
INSERT INTO SINONIMOS VALUES("nasofaringe", "antrocoanal");
INSERT INTO SINONIMOS VALUES("ducto biliar adenoma", "colangioma");
INSERT INTO SINONIMOS VALUES("colangite crônica destrutiva não destrutiva", "cirrose biliar primária");
INSERT INTO SINONIMOS VALUES("colecalciferol", "vitamina d3");
INSERT INTO SINONIMOS VALUES("colecistectomia", "vesícula biliar de remoção cirúrgica");
INSERT INTO SINONIMOS VALUES("colecistite", "inflamação da vesícula biliar");
INSERT INTO SINONIMOS VALUES("colelitíase", "doença do cálculo biliar");
INSERT INTO SINONIMOS VALUES("o-acetiltransferase", "acetiltransferase");
INSERT INTO SINONIMOS VALUES("cartilagem de anomalia não especificada", "condrodistrofia");
INSERT INTO SINONIMOS VALUES("membranas do saco amniótico de infecção", "corioamnionite");
INSERT INTO SINONIMOS VALUES("choristoma", "tecido ectópico");
INSERT INTO SINONIMOS VALUES("cromatografia", "filtração");
INSERT INTO SINONIMOS VALUES("aberrações", "anormalidade");
INSERT INTO SINONIMOS VALUES("cromossoma", "gene");
INSERT INTO SINONIMOS VALUES("pulmonar criptogênico", "pneumonia crônica");
INSERT INTO SINONIMOS VALUES("cimex lectularius", "percevejo");
INSERT INTO SINONIMOS VALUES("cidades", "cidade");
INSERT INTO SINONIMOS VALUES("-sintinta", "sintase");
INSERT INTO SINONIMOS VALUES("ácido cítrico", "krebs");
INSERT INTO SINONIMOS VALUES("clavícula estrutura", "colarinho");
INSERT INTO SINONIMOS VALUES("sódio", "dissódico");
INSERT INTO SINONIMOS VALUES("peludo", "revestido");
INSERT INTO SINONIMOS VALUES("cóccix estrutura óssea", "cóccix");
INSERT INTO SINONIMOS VALUES("estrutura ducto perilinfático", "aqueduto coclear");
INSERT INTO SINONIMOS VALUES("coclear", "auditivo");
INSERT INTO SINONIMOS VALUES("dictyoptera", "barata");
INSERT INTO SINONIMOS VALUES("coenzima ligases", "tioquinase");
INSERT INTO SINONIMOS VALUES("coito", "relação sexual");
INSERT INTO SINONIMOS VALUES("pseudo-obstrução colônica", "síndrome de ogilvie");
INSERT INTO SINONIMOS VALUES("defeitos", "deficiência");
INSERT INTO SINONIMOS VALUES("comunicável", "infeccioso");
INSERT INTO SINONIMOS VALUES("complemento inativadores", "inibidor de esterase");
INSERT INTO SINONIMOS VALUES("componente do complemento", "esterase");
INSERT INTO SINONIMOS VALUES("venereal anogenital", "genital");
INSERT INTO SINONIMOS VALUES("inclusão", "clamídia");
INSERT INTO SINONIMOS VALUES("participação", "envolvimento");
INSERT INTO SINONIMOS VALUES("consumidor", "cliente");
INSERT INTO SINONIMOS VALUES("hidrofílico", "suave");
INSERT INTO SINONIMOS VALUES("contusões", "ematoma");
INSERT INTO SINONIMOS VALUES("conversão", "histérico");
INSERT INTO SINONIMOS VALUES("convulsões", "convulsões");
INSERT INTO SINONIMOS VALUES("convulsivo", "choque");
INSERT INTO SINONIMOS VALUES("coprofagia", "comendo fezes");
INSERT INTO SINONIMOS VALUES("zea mays", "planta de milho");
INSERT INTO SINONIMOS VALUES("córnea", "globo ocular exterior");
INSERT INTO SINONIMOS VALUES("arteriosclerose", "doença cardíaca");
INSERT INTO SINONIMOS VALUES("coronariano", "coração");
INSERT INTO SINONIMOS VALUES("corticamona", "11-desoxicortisol");
INSERT INTO SINONIMOS VALUES("gossipio", "algodão");
INSERT INTO SINONIMOS VALUES("cranial", "dural");
INSERT INTO SINONIMOS VALUES("disostose craniofacial", "síndrome de crouzon");
INSERT INTO SINONIMOS VALUES("quinase", "fosfoquinase");
INSERT INTO SINONIMOS VALUES("scombridae", "cavalinha");
INSERT INTO SINONIMOS VALUES("embrionário", "congênito");
INSERT INTO SINONIMOS VALUES("cistite", "inflamação da bexiga");
INSERT INTO SINONIMOS VALUES("colina de difosfato de citidina", "citicolina");
INSERT INTO SINONIMOS VALUES("queratina-19", "citoqueratina 19");
INSERT INTO SINONIMOS VALUES("citocinese", "decote");
INSERT INTO SINONIMOS VALUES("adaptação escura", "visão noturna");
INSERT INTO SINONIMOS VALUES("ddd", "diclorodifenildicloroetano");
INSERT INTO SINONIMOS VALUES("dde", "dicloroetifenil dicloroetileno");
INSERT INTO SINONIMOS VALUES("Deanol", "dimetilaminoetanol");
INSERT INTO SINONIMOS VALUES("vida de cessação", "morte");
INSERT INTO SINONIMOS VALUES("decisão", "mente");
INSERT INTO SINONIMOS VALUES("úlcera decúbito", "pressionar feridas");
INSERT INTO SINONIMOS VALUES("anormalidade", "mudança");
INSERT INTO SINONIMOS VALUES("deglutição", "engolir");
INSERT INTO SINONIMOS VALUES("distúrbios de deglutição", "dificuldade de deglutição");
INSERT INTO SINONIMOS VALUES("desidratação", "perda de água corporal");
INSERT INTO SINONIMOS VALUES("prasterone", "dehidroepiandrosterona");
INSERT INTO SINONIMOS VALUES("neuropatia sensitiva motora tipo III hereditária", "doença de dejerine-sottas");
INSERT INTO SINONIMOS VALUES("preparações de ação retardada", "medicação de liberação de tempo");
INSERT INTO SINONIMOS VALUES("obstetrícia", "sob cuidados médicos");
INSERT INTO SINONIMOS VALUES("cálculo dentário", "tártaro");
INSERT INTO SINONIMOS VALUES("cáries dentárias", "Cavidade dentária");
INSERT INTO SINONIMOS VALUES("dentaduras", "dentes falsos");
INSERT INTO SINONIMOS VALUES("polpa dentária", "dente");
INSERT INTO SINONIMOS VALUES("funcionários", "pessoal");
INSERT INTO SINONIMOS VALUES("dentina", "dente");
INSERT INTO SINONIMOS VALUES("secundário", "terciário");
INSERT INTO SINONIMOS VALUES("desoxicólico", "desoxicólico");
INSERT INTO SINONIMOS VALUES("desoxirribonuclease i", "dnase");
INSERT INTO SINONIMOS VALUES("desoxirribonucleases", "dnase");
INSERT INTO SINONIMOS VALUES("endógeno", "clínico");
INSERT INTO SINONIMOS VALUES("depressão", "melancolia");
INSERT INTO SINONIMOS VALUES("dermacentor", "carrapato de madeira");
INSERT INTO SINONIMOS VALUES("dermacentor variabilis", "American dog tick");
INSERT INTO SINONIMOS VALUES("sulfato", "sulfato");
INSERT INTO SINONIMOS VALUES("dermatite", "inflamação da pele");
INSERT INTO SINONIMOS VALUES("dermatite exfoliativa", "eritrodermia");
INSERT INTO SINONIMOS VALUES("erupções", "erupção cutânea");
INSERT INTO SINONIMOS VALUES("artrodermataceae", "dermatófitos");
INSERT INTO SINONIMOS VALUES("dessecação", "secagem");
INSERT INTO SINONIMOS VALUES("cloridrato", "hcl");
INSERT INTO SINONIMOS VALUES("melito", "dependente");
INSERT INTO SINONIMOS VALUES("não dependente de insulina", "tipo 2");
INSERT INTO SINONIMOS VALUES("oculopatia", "doença ocular");
INSERT INTO SINONIMOS VALUES("neuropatias", "dano do nervo");
INSERT INTO SINONIMOS VALUES("displasia diafisária progressiva", "síndrome de engelmann");
INSERT INTO SINONIMOS VALUES("diastema", "espaço entre");
INSERT INTO SINONIMOS VALUES("dibutilo", "di-n-butil");
INSERT INTO SINONIMOS VALUES("registros de dieta", "diário alimentar");
INSERT INTO SINONIMOS VALUES("reduzindo", "perda de peso");
INSERT INTO SINONIMOS VALUES("di-hidroergotoxina", "co-dergocrine");
INSERT INTO SINONIMOS VALUES("dilatação", "alargamento");
INSERT INTO SINONIMOS VALUES("patológico", "anormal");
INSERT INTO SINONIMOS VALUES("dimetoato", "fosfamida");
INSERT INTO SINONIMOS VALUES("sulfóxido de dimetilo", "dmso");
INSERT INTO SINONIMOS VALUES("dimetilnitrosamina", "nitrosodimetilamina");
INSERT INTO SINONIMOS VALUES("dipetalonema", "acantoceleilonama");
INSERT INTO SINONIMOS VALUES("catecol oxidase", "tirosinase");
INSERT INTO SINONIMOS VALUES("difosfonatos", "bisfosfonatos");
INSERT INTO SINONIMOS VALUES("toxóide", "vacina");
INSERT INTO SINONIMOS VALUES("diplopia", "visão dupla");
INSERT INTO SINONIMOS VALUES("dipirona", "metamizol");
INSERT INTO SINONIMOS VALUES("desfavorecido", "desprivilegiado");
INSERT INTO SINONIMOS VALUES("suscetibilidade", "vulnerabilidade");
INSERT INTO SINONIMOS VALUES("suxametônio", "succinilcolina");
INSERT INTO SINONIMOS VALUES("domínio", "lateralização");
INSERT INTO SINONIMOS VALUES("método", "cego");
INSERT INTO SINONIMOS VALUES("medina", "Guiné");
INSERT INTO SINONIMOS VALUES("sonolência", "sonolência");
INSERT INTO SINONIMOS VALUES("hipersensibilidade", "alergia");
INSERT INTO SINONIMOS VALUES("marcação", "inserções de pacote");
INSERT INTO SINONIMOS VALUES("microbiano", "antimicrobiano");
INSERT INTO SINONIMOS VALUES("avaliação pré-clínica", "triagem");
INSERT INTO SINONIMOS VALUES("farmacoterapia", "terapia medicamentosa");
INSERT INTO SINONIMOS VALUES("sem receita médica", "mais de balcão");
INSERT INTO SINONIMOS VALUES("nanismo", "baixa estatura");
INSERT INTO SINONIMOS VALUES("corantes", "agentes corantes");
INSERT INTO SINONIMOS VALUES("discromia", "distúrbios da pigmentação da pele");
INSERT INTO SINONIMOS VALUES("hemorragia", "sangramento");
INSERT INTO SINONIMOS VALUES("droga induzida", "tardio");
INSERT INTO SINONIMOS VALUES("dismenorréia", "cólicas menstruais");
INSERT INTO SINONIMOS VALUES("dispepsia", "indigestão");
INSERT INTO SINONIMOS VALUES("dispnéia", "falta de ar");
INSERT INTO SINONIMOS VALUES("distocia", "trabalho difícil");
INSERT INTO SINONIMOS VALUES("distonia", "Contração de contração muscular anormal");
INSERT INTO SINONIMOS VALUES("musculorum deformans", "torção");
INSERT INTO SINONIMOS VALUES("micção não especificada", "micção");
INSERT INTO SINONIMOS VALUES("equinococose", "cisto hidático");
INSERT INTO SINONIMOS VALUES("ecocardiografia", "ultra-som do coração");
INSERT INTO SINONIMOS VALUES("médico", "saúde");
INSERT INTO SINONIMOS VALUES("edema", "inchaço excesso de fluido");
INSERT INTO SINONIMOS VALUES("edético", "etilenodiaminotetracético");
INSERT INTO SINONIMOS VALUES("choque elétrico", "cardioversão");
INSERT INTO SINONIMOS VALUES("galvanismo cirúrgico", "eletrólise");
INSERT INTO SINONIMOS VALUES("elefantíase", "linfático");
INSERT INTO SINONIMOS VALUES("embriotomia", "feticídio");
INSERT INTO SINONIMOS VALUES("acumulação patológica", "coleção anormal");
INSERT INTO SINONIMOS VALUES("terminação de emprego", "despedimento");
INSERT INTO SINONIMOS VALUES("erupção da membrana mucosa", "enanthema");
INSERT INTO SINONIMOS VALUES("encefalite", "inflamação cerebral");
INSERT INTO SINONIMOS VALUES("leucoencefalite aguda hemorrágica", "doença de hurst");
INSERT INTO SINONIMOS VALUES("encondromatose", "doença de ollier");
INSERT INTO SINONIMOS VALUES("endocardite", "válvula cardíaca inflamação");
INSERT INTO SINONIMOS VALUES("endocardite bacteriana subaguda", "sbe");
INSERT INTO SINONIMOS VALUES("doenças endócrinas", "distúrbio hormonal");
INSERT INTO SINONIMOS VALUES("seio endodérmico", "saco vitelino");
INSERT INTO SINONIMOS VALUES("endométrio", "revestimento mucoso dentro do útero");
INSERT INTO SINONIMOS VALUES("saccharomycetales", "levedura de brotamento");
INSERT INTO SINONIMOS VALUES("endoribonucleases", "rnase");
INSERT INTO SINONIMOS VALUES("administração", "dando");
INSERT INTO SINONIMOS VALUES("metabolismo", "despesa");
INSERT INTO SINONIMOS VALUES("Recursos", "fonte");
INSERT INTO SINONIMOS VALUES("população", "Inglês");
INSERT INTO SINONIMOS VALUES("nutrição enteral", "tubo de alimentação");
INSERT INTO SINONIMOS VALUES("enteroglucagon", "oxintomodulina");
INSERT INTO SINONIMOS VALUES("enurese", "enurese");
INSERT INTO SINONIMOS VALUES("controlada", "artificial");
INSERT INTO SINONIMOS VALUES("precursores enzimáticos", "zimogênio");
INSERT INTO SINONIMOS VALUES("Ensaio de imunoabsorção enzimática", "ELISA");
